"merchant_alias","location_formatted_address","location_latitude","merchant_id","source_id","source_data","source_details_data","source_type","merchant_name","business_id","location_name","location_id","location_route_number","location_route_name_short","location_route_name_long","location_suburb_short","location_suburb_long","location_state_short","location_state_long","location_country_code","location_country_name","location_postal_code","location_formatted_address-2","location_latitude-2","location_longitude","contact_website","contact_operating_hours","contact_phone_number_local","contact_phone_number_international","anzsic_class_code","date_created","date_source_updated","date_transformed","date_indexed","date_classified","soundex_code","logo_master","logo_thumb","merchant_alias-2"
"FLINDERS LANE CAFE","2/31 Flinders Ln, Maroochydore QLD 4558, Australia",NULL,"8c804cd5-6fd3-4184-a331-55bd6a2b3a8b","8c804cd5-6fd3-4184-a331-55bd6a2b3a8b","{}",NULL,"CUSTOM","Flinders Lane Cafe",NULL,NULL,NULL,"31","Flinders Ln","Flinders Lane","Maroochydore","Maroochydore","QLD","Queensland","AU","Australia","4558","2/31 Flinders Ln, Maroochydore QLD 4558, Australia",NULL,NULL,"http://www.flinderslanecafe.com.au/","{""periods"": [{""open"": {""day"": 0, ""time"": ""0700""}, ""close"": {""day"": 0, ""time"": ""1200""}}, {""open"": {""day"": 1, ""time"": ""0630""}, ""close"": {""day"": 1, ""time"": ""1330""}}, {""open"": {""day"": 2, ""time"": ""0630""}, ""close"": {""day"": 2, ""time"": ""1330""}}, {""open"": {""day"": 3, ""time"": ""0630""}, ""close"": {""day"": 3, ""time"": ""1330""}}, {""open"": {""day"": 4, ""time"": ""0630""}, ""close"": {""day"": 4, ""time"": ""1330""}}, {""open"": {""day"": 5, ""time"": ""0630""}, ""close"": {""day"": 5, ""time"": ""1330""}}, {""open"": {""day"": 6, ""time"": ""0700""}, ""close"": {""day"": 6, ""time"": ""1200""}}], ""open_now"": true, ""weekday_text"": [""Monday: 6:30 AM – 1:30 PM"", ""Tuesday: 6:30 AM – 1:30 PM"", ""Wednesday: 6:30 AM – 1:30 PM"", ""Thursday: 6:30 AM – 1:30 PM"", ""Friday: 6:30 AM – 1:30 PM"", ""Saturday: 7:00 AM – 12:00 PM"", ""Sunday: 7:00 AM – 12:00 PM""]}","0476 986 317","+61 476 986 317","4512","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"FLINDERS LANE CAFE"
"MCDONALDS","64 Laidley Plainland Road, Plainland QLD 4341, Australia",NULL,"d1a9368a-486e-11e8-abf7-0a87c0279fe8","McDonalds 3181 Plainland","{""id"": ""McDonalds 3181 Plainland"", ""storeId"": ""3181"", ""identity"": {""status"": ""active"", ""website"": ""https://mcdonalds.com.au/"", ""entityName"": null, ""businessName"": ""McDonalds"", ""phoneNumbers"": [{""local"": ""07 54113333"", ""phoneType"": null, ""international"": ""+61 7 54113333""}], ""businessNumber"": null, ""operatingHours"": {""friday"": [{""end"": ""24:00"", ""begin"": ""05:00""}], ""monday"": [{""end"": ""24:00"", ""begin"": ""05:00""}], ""sunday"": [{""end"": ""24:00"", ""begin"": ""05:00""}], ""tuesday"": [{""end"": ""24:00"", ""begin"": ""05:00""}], ""saturday"": [{""end"": ""24:00"", ""begin"": ""05:00""}], ""thursday"": [{""end"": ""24:00"", ""begin"": ""05:00""}], ""wednesday"": [{""end"": ""24:00"", ""begin"": ""05:00""}]}}, ""location"": {""route"": """", ""country"": {""code"": ""AU"", ""name"": ""Australia""}, ""routeNo"": """", ""geometry"": {""lat"": """", ""lng"": """"}, ""locality"": {""longName"": ""Plainland"", ""shortName"": ""Plainland""}, ""postalCode"": ""4341"", ""formattedAddress"": ""64 Laidley Plainland Road, Plainland QLD 4341, Australia"", ""administrativeArea1"": {""longName"": ""Queensland"", ""shortName"": ""QLD""}, ""administrativeArea2"": {""longName"": """", ""shortName"": """"}}, ""storeName"": ""Plainland"", ""classification"": {""class"": {""code"": ""4512"", ""title"": ""Takeaway Food Services""}, ""group"": {""code"": ""451"", ""title"": ""Cafes, Restaurants and Takeaway Food Services""}, ""division"": {""code"": ""H"", ""title"": ""Accommodation and Food Services""}, ""subdivision"": {""code"": ""45"", ""title"": ""Food and Beverage Services""}}}",NULL,"CUSTOM","McDonalds",NULL,NULL,"3181",NULL,NULL,NULL,"Plainland","Plainland","QLD","Queensland","AU","Australia","4341","64 Laidley Plainland Road, Plainland QLD 4341, Australia",NULL,NULL,"https://mcdonalds.com.au/",NULL,NULL,NULL,"4512","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-08-08 11:54:42.580922",NULL,"2019-10-18 11:01:42.036342","M235","mcdonalds-master.svg","mcdonalds-thumb.svg","MCDONALDS"
"MYER CENTER CAR PARK"," 91 Queen St, Brisbane City QLD 4000, Australia",NULL,"8a63ced9-47d0-48cd-b451-55b5372cb904","8a63ced9-47d0-48cd-b451-55b5372cb904","{}",NULL,"CUSTOM","Myer centre car park",NULL,"Brisbane",NULL,"91","Queen St","Queen Street","Brisbane","Brisbane City","QLD","Queensland","AU","Australia","4000"," 91 Queen St, Brisbane City QLD 4000, Australia",NULL,NULL,"https://www.themyercentre.com.au/parking/car-park-information",NULL,NULL,NULL,"9533","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"MYER CENTER CAR PARK"
"SAINT LUCIFER","4 Crinan St, Hurlstone Park NSW 2193, Australia",NULL,"612b40a0-c6f8-439a-8515-6a54d2e135ee","612b40a0-c6f8-439a-8515-6a54d2e135ee","{}",NULL,"CUSTOM","Saint Lucifer",NULL,NULL,NULL,"4","Crinan St","Crinan Street","Hurlstone Park","Hurlstone Park","NSW","New South Wales","AU","Australia","2193","4 Crinan St, Hurlstone Park NSW 2193, Australia",NULL,NULL,"https://www.saintlucifer.com.au/",NULL,NULL,NULL,"4512","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"SAINT LUCIFER"
"PADDINGTON COMPOUNDING PHARMACY","322-324 Oxford St, Paddington NSW 2021, Australia",NULL,"b317b12a-75d2-4bce-99eb-461603ab0508","b317b12a-75d2-4bce-99eb-461603ab0508","{}",NULL,"CUSTOM","Paddington Compounding Pharmacy",NULL,NULL,NULL,"322-324","Oxford St","Oxford Street","Paddington","Paddington","NSW","New South Wales","AU","Australia","2021","322-324 Oxford St, Paddington NSW 2021, Australia",NULL,NULL,NULL,"{""periods"": [{""open"": {""day"": 0, ""time"": ""0830""}, ""close"": {""day"": 0, ""time"": ""1800""}}, {""open"": {""day"": 1, ""time"": ""0830""}, ""close"": {""day"": 1, ""time"": ""1900""}}, {""open"": {""day"": 2, ""time"": ""0830""}, ""close"": {""day"": 2, ""time"": ""1900""}}, {""open"": {""day"": 3, ""time"": ""0830""}, ""close"": {""day"": 3, ""time"": ""1900""}}, {""open"": {""day"": 4, ""time"": ""0830""}, ""close"": {""day"": 4, ""time"": ""1900""}}, {""open"": {""day"": 5, ""time"": ""0830""}, ""close"": {""day"": 5, ""time"": ""1900""}}, {""open"": {""day"": 6, ""time"": ""0830""}, ""close"": {""day"": 6, ""time"": ""1800""}}], ""open_now"": true, ""weekday_text"": [""Monday: 8:30 AM – 7:00 PM"", ""Tuesday: 8:30 AM – 7:00 PM"", ""Wednesday: 8:30 AM – 7:00 PM"", ""Thursday: 8:30 AM – 7:00 PM"", ""Friday: 8:30 AM – 7:00 PM"", ""Saturday: 8:30 AM – 6:00 PM"", ""Sunday: 8:30 AM – 6:00 PM""]}","(02) 9360 4566","+61 2 9360 4566","4271","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"PADDINGTON COMPOUNDING PHARMACY"
"CURRENCY","Suite 23, Portland House, Glacis Road, Gibraltar, GX11 1AA",NULL,"e7556f4c-f0aa-40bc-86ac-d5ee6fce11cf","e7556f4c-f0aa-40bc-86ac-d5ee6fce11cf","{}",NULL,"CUSTOM","currency.com",NULL,NULL,NULL,NULL,NULL,NULL,"Gibraltar","Gibraltar",NULL,NULL,"UK","United Kingdom",NULL,"Suite 23, Portland House, Glacis Road, Gibraltar, GX11 1AA",NULL,NULL,NULL,NULL,NULL,NULL,"6419","2021-07-09 13:25:23.306206","2021-07-09 13:25:23.306206","2021-07-09 13:25:23.306206",NULL,"2021-07-09 13:25:23.306206",NULL,NULL,NULL,"CURRENCY"
"COCOS KEELING ISLANDS","Morea Crest, Cocos Islands WA 6799, Australia",NULL,"1dd2ae52-76c7-11e8-9408-0a97eab31f0c","W11747875","{""id"": ""W11747875"", ""name"": ""Cocos Keeling Islands"", ""score"": 6096.621, ""aboutId"": """", ""categories"": [], ""detailsLink"": ""http://www.whitepages.com.au/cocos-keeling-islands-11747878/cocos-islands-wa-11747875B?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""B"", ""reportingId"": ""W11747875"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""Cocos Islands"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": ""Morea Crest""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 6790""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Keeling Islands",NULL,NULL,NULL,NULL,"Morea Crest",NULL,"Cocos Islands","Cocos Islands","WA","Western Australia","AU","Australia","6799","Morea Crest, Cocos Islands WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 6790","+61 8 9162 6790","7720","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:11.368731",NULL,"2019-10-18 11:01:42.036342","C224",NULL,NULL,"COCOS KEELING ISLANDS"
"HANES AUSTRALIA"," L 1 115 Cotham Rd, Kew\u200b, VICTORIA, 3101",NULL,"c08574bf-3803-49b3-a6d4-8ff47ba134e6","c08574bf-3803-49b3-a6d4-8ff47ba134e6","{}",NULL,"CUSTOM","HANES Australia",NULL,NULL,NULL,"L1 115","Cotham Rd","Cotham Road","Kew","Kew","Vic","Victoria","AU","Australia","3101"," L 1 115 Cotham Rd, Kew\u200b, VICTORIA, 3101",NULL,NULL,"https://www.hanesaustralasia.com/",NULL,NULL,NULL,"4251","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"HANES AUSTRALIA"
"MATHEWS ARTISAN BUTCHERS","308 Racecourse Rd, Flemington VIC 3031, Australia",NULL,"36070257-306c-49a5-a6cd-1dd99961e923","36070257-306c-49a5-a6cd-1dd99961e923","{}",NULL,"CUSTOM","Mathews Artisan Butchers",NULL,NULL,NULL,"308","Racecourse Rd","Racecourse Road","Flemington","Flemington","VIC","Victoria","AU","Australia","3031","308 Racecourse Rd, Flemington VIC 3031, Australia",NULL,NULL,NULL,"{""periods"": [{""open"": {""day"": 0, ""time"": ""0930""}, ""close"": {""day"": 0, ""time"": ""1800""}}, {""open"": {""day"": 1, ""time"": ""0730""}, ""close"": {""day"": 1, ""time"": ""1800""}}, {""open"": {""day"": 2, ""time"": ""0730""}, ""close"": {""day"": 2, ""time"": ""1800""}}, {""open"": {""day"": 3, ""time"": ""0730""}, ""close"": {""day"": 3, ""time"": ""1800""}}, {""open"": {""day"": 4, ""time"": ""0730""}, ""close"": {""day"": 4, ""time"": ""1800""}}, {""open"": {""day"": 5, ""time"": ""0730""}, ""close"": {""day"": 5, ""time"": ""1800""}}, {""open"": {""day"": 6, ""time"": ""0730""}, ""close"": {""day"": 6, ""time"": ""1800""}}], ""open_now"": true, ""weekday_text"": [""Monday: 7:30 AM – 6:00 PM"", ""Tuesday: 7:30 AM – 6:00 PM"", ""Wednesday: 7:30 AM – 6:00 PM"", ""Thursday: 7:30 AM – 6:00 PM"", ""Friday: 7:30 AM – 6:00 PM"", ""Saturday: 7:30 AM – 6:00 PM"", ""Sunday: 9:30 AM – 6:00 PM""]}","(03) 9376 6271","+61 3 9376 6271","4129","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"MATHEWS ARTISAN BUTCHERS"
"MCDONALDS","332 Ripley Road, Ripley QLD 4306, Australia",NULL,"d1a929c4-486e-11e8-a267-0a87c0279fe8","McDonalds 3179 Ripley Qld","{""id"": ""McDonalds 3179 Ripley Qld"", ""storeId"": ""3179"", ""identity"": {""status"": ""active"", ""website"": ""https://mcdonalds.com.au/"", ""entityName"": null, ""businessName"": ""McDonalds"", ""phoneNumbers"": [{""local"": ""TBA"", ""phoneType"": null, ""international"": ""+61 BA""}], ""businessNumber"": null, ""operatingHours"": {""friday"": [{""end"": ""24:00"", ""begin"": "":""}], ""monday"": [{""end"": ""24:00"", ""begin"": "":""}], ""sunday"": [{""end"": ""24:00"", ""begin"": "":""}], ""tuesday"": [{""end"": ""24:00"", ""begin"": "":""}], ""saturday"": [{""end"": ""24:00"", ""begin"": "":""}], ""thursday"": [{""end"": ""24:00"", ""begin"": "":""}], ""wednesday"": [{""end"": ""24:00"", ""begin"": "":""}]}}, ""location"": {""route"": """", ""country"": {""code"": ""AU"", ""name"": ""Australia""}, ""routeNo"": """", ""geometry"": {""lat"": """", ""lng"": """"}, ""locality"": {""longName"": ""Ripley"", ""shortName"": ""Ripley""}, ""postalCode"": ""4306"", ""formattedAddress"": ""332 Ripley Road, Ripley QLD 4306, Australia"", ""administrativeArea1"": {""longName"": ""Queensland"", ""shortName"": ""QLD""}, ""administrativeArea2"": {""longName"": """", ""shortName"": """"}}, ""storeName"": ""Ripley Qld"", ""classification"": {""class"": {""code"": ""4512"", ""title"": ""Takeaway Food Services""}, ""group"": {""code"": ""451"", ""title"": ""Cafes, Restaurants and Takeaway Food Services""}, ""division"": {""code"": ""H"", ""title"": ""Accommodation and Food Services""}, ""subdivision"": {""code"": ""45"", ""title"": ""Food and Beverage Services""}}}",NULL,"CUSTOM","McDonalds",NULL,NULL,"3179",NULL,NULL,NULL,"Ripley","Ripley","QLD","Queensland","AU","Australia","4306","332 Ripley Road, Ripley QLD 4306, Australia",NULL,NULL,"https://mcdonalds.com.au/",NULL,NULL,NULL,"4512","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-08-08 11:54:42.540817",NULL,"2019-10-18 11:01:42.036342","M235","mcdonalds-master.svg","mcdonalds-thumb.svg","MCDONALDS"
"BILLS","359 Crown St, Surry Hills NSW 2010, Australia",NULL,"d6084bdc-0637-4ab8-a6f5-3ad82aeec615","d6084bdc-0637-4ab8-a6f5-3ad82aeec615","{}",NULL,"CUSTOM","Bills",NULL,NULL,NULL,"359","Crown St","Crown Street","Surry Hills","Surry Hills","NSW","New South Wales","AU","Australia","2010","359 Crown St, Surry Hills NSW 2010, Australia",NULL,NULL,"https://www.bills.com.au/surry-hills","{""periods"": [{""open"": {""day"": 0, ""time"": ""0700""}, ""close"": {""day"": 0, ""time"": ""2200""}}, {""open"": {""day"": 1, ""time"": ""0700""}, ""close"": {""day"": 1, ""time"": ""2200""}}, {""open"": {""day"": 2, ""time"": ""0700""}, ""close"": {""day"": 2, ""time"": ""2200""}}, {""open"": {""day"": 3, ""time"": ""0700""}, ""close"": {""day"": 3, ""time"": ""2200""}}, {""open"": {""day"": 4, ""time"": ""0700""}, ""close"": {""day"": 4, ""time"": ""2200""}}, {""open"": {""day"": 5, ""time"": ""0700""}, ""close"": {""day"": 5, ""time"": ""2200""}}, {""open"": {""day"": 6, ""time"": ""0700""}, ""close"": {""day"": 6, ""time"": ""2200""}}], ""open_now"": true, ""weekday_text"": [""Monday: 7:00 AM – 10:00 PM"", ""Tuesday: 7:00 AM – 10:00 PM"", ""Wednesday: 7:00 AM – 10:00 PM"", ""Thursday: 7:00 AM – 10:00 PM"", ""Friday: 7:00 AM – 10:00 PM"", ""Saturday: 7:00 AM – 10:00 PM"", ""Sunday: 7:00 AM – 10:00 PM""]}","(02) 9360 4762","+61 2 9360 4762",NULL,"2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"BILLS"
"CITY OF","833 Southport Nerang Rd, Nerang QLD 4211, Australia",NULL,"7e458a62-2761-4312-a544-a6085901194f","7e458a62-2761-4312-a544-a6085901194f","{}",NULL,"CUSTOM","City of Gold Coast - Customer Service Centre",NULL,NULL,NULL,"833","Southport Nerang Rd","Southport Nerang Road","Nerang","Nerang","QLD","Queensland","AU","Australia","4211","833 Southport Nerang Rd, Nerang QLD 4211, Australia",NULL,NULL,"https://www.goldcoast.qld.gov.au/Council-region/About-Council/Contact-us","{""periods"": [{""open"": {""day"": 1, ""time"": ""0815""}, ""close"": {""day"": 1, ""time"": ""1630""}}, {""open"": {""day"": 2, ""time"": ""0815""}, ""close"": {""day"": 2, ""time"": ""1630""}}, {""open"": {""day"": 3, ""time"": ""0815""}, ""close"": {""day"": 3, ""time"": ""1630""}}, {""open"": {""day"": 4, ""time"": ""0815""}, ""close"": {""day"": 4, ""time"": ""1630""}}, {""open"": {""day"": 5, ""time"": ""0815""}, ""close"": {""day"": 5, ""time"": ""1630""}}], ""open_now"": true, ""weekday_text"": [""Monday: 8:15 AM – 4:30 PM"", ""Tuesday: 8:15 AM – 4:30 PM"", ""Wednesday: 8:15 AM – 4:30 PM"", ""Thursday: 8:15 AM – 4:30 PM"", ""Friday: 8:15 AM – 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]}","1300 465 326","+61 1300 465 326","7720","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"CITY OF"
"COCOS ISLAND CO OPERATIVE SOCIETY","Sydney Highway, Cocos Islands WA 6799, Australia",NULL,"6aeb4222-4c87-11e8-8439-0a87c0279fe8","W10752913","{""id"": ""W10752913"", ""name"": ""Cocos Island Co-Operative Society"", ""score"": 3084.8489, ""aboutId"": """", ""categories"": [], ""detailsLink"": ""http://www.whitepages.com.au/cocos-island-co-operative-society-10752911/cocos-islands-wa-10752913B?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""B"", ""reportingId"": ""W10752913"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""Cocos Islands"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": ""Sydney Highway""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 6764""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Island Co-Operative Society",NULL,NULL,NULL,NULL,"Sydney Highway",NULL,"Cocos Islands","Cocos Islands","WA","Western Australia","AU","Australia","6799","Sydney Highway, Cocos Islands WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 6764","+61 8 9162 6764",NULL,"2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:10.888968",NULL,"2019-10-18 11:01:42.036342","C222",NULL,NULL,"COCOS ISLAND CO OPERATIVE SOCIETY"
"DR EARTH","Crn Grosvenor Ln & Cooper Ln, Neutral Bay NSW 2089",NULL,"b991c3d4-d79e-48be-9746-b0c3944a6d8a","b991c3d4-d79e-48be-9746-b0c3944a6d8a","{}",NULL,"CUSTOM","Dr Earth",NULL,NULL,NULL,"store 6","Crn Grosvenor Ln & Cooper Ln","Crn Grosvenor Ln & Cooper Ln","Neutral Bay","Neutral Bay","NSW","New South Wales","AU","Australia","2089","Crn Grosvenor Ln & Cooper Ln, Neutral Bay NSW 2089",NULL,NULL,"https://drearth.com.au/stores/neutral-bay/",NULL,NULL,NULL,NULL,"2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"DR EARTH"
"COCOS KEELING ISLAND SHIRE COUNCIL","West Island, Home Island WA 6799, Australia",NULL,"c265d68a-8a7f-11e8-ba23-0a97eab31f0c","W11808695","{""id"": ""W11808695"", ""name"": ""Cocos Keeling Island Shire Council"", ""score"": 4562.2188, ""aboutId"": """", ""categories"": [], ""detailsLink"": ""http://www.whitepages.com.au/cocos-keeling-island-shire-council-11808697/home-island-wa-11808695B?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""B"", ""reportingId"": ""W11808695"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""Home Island"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": ""West Island""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 6596""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Keeling Island Shire Council",NULL,NULL,NULL,NULL,"West Island",NULL,"Home Island","Home Island","WA","Western Australia","AU","Australia","6799","West Island, Home Island WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 6596","+61 8 9162 6596","7720","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:52.248472",NULL,"2019-10-18 11:01:42.036342","C224",NULL,NULL,"COCOS KEELING ISLAND SHIRE COUNCIL"
"THE POCKET","Freshwater, Surf Life Saving Club, Kooloora Ave, Sydney NSW 2096, Australia",NULL,"037a65ff-b749-41df-8c4f-c29e412e54de","037a65ff-b749-41df-8c4f-c29e412e54de","{}",NULL,"CUSTOM","The Pocket Freshwater",NULL,NULL,NULL,NULL,"Kooloora Ave","Kooloora Avenue","Sydney","Sydney","NSW","New South Wales","AU","Australia","2096","Freshwater, Surf Life Saving Club, Kooloora Ave, Sydney NSW 2096, Australia",NULL,NULL,NULL,"{""periods"": [{""open"": {""day"": 0, ""time"": ""0730""}, ""close"": {""day"": 0, ""time"": ""1400""}}, {""open"": {""day"": 1, ""time"": ""0730""}, ""close"": {""day"": 1, ""time"": ""1400""}}, {""open"": {""day"": 2, ""time"": ""0730""}, ""close"": {""day"": 2, ""time"": ""1400""}}, {""open"": {""day"": 3, ""time"": ""0730""}, ""close"": {""day"": 3, ""time"": ""1400""}}, {""open"": {""day"": 4, ""time"": ""0730""}, ""close"": {""day"": 4, ""time"": ""1400""}}, {""open"": {""day"": 5, ""time"": ""0730""}, ""close"": {""day"": 5, ""time"": ""1400""}}, {""open"": {""day"": 6, ""time"": ""0730""}, ""close"": {""day"": 6, ""time"": ""1400""}}], ""open_now"": true, ""weekday_text"": [""Monday: 7:30 AM – 2:00 PM"", ""Tuesday: 7:30 AM – 2:00 PM"", ""Wednesday: 7:30 AM – 2:00 PM"", ""Thursday: 7:30 AM – 2:00 PM"", ""Friday: 7:30 AM – 2:00 PM"", ""Saturday: 7:30 AM – 2:00 PM"", ""Sunday: 7:30 AM – 2:00 PM""]}",NULL,NULL,"4511","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"THE POCKET"
"THE STATION PATISSERIE","792 Old Princes Hwy, Sutherland NSW 2232, Australia",NULL,"fa04897e-8cd1-4e25-a611-60c34a60b887","fa04897e-8cd1-4e25-a611-60c34a60b887","{}",NULL,"CUSTOM","The Station Patisserie",NULL,NULL,NULL,"792","Old Princes Hwy","Old Princes Highway","Sutherland","Sutherland","NSW","New South Wales","AU","Australia","2232","792 Old Princes Hwy, Sutherland NSW 2232, Australia",NULL,NULL,"https://www.facebook.com/pages/category/Cafe/The-Station-Patisserie-220541179276491/",NULL,NULL,NULL,"4512","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"THE STATION PATISSERIE"
"MICHELS DRY CLEANERS DC","221 Glenmore Rd, Paddington NSW 2021",NULL,"73b7de47-a5ee-4c68-aa93-31d352848cb9","73b7de47-a5ee-4c68-aa93-31d352848cb9","{}",NULL,"CUSTOM","Michel's Dry Cleaners DC",NULL,NULL,NULL,"221","Glenmore Rd","Glenmore Road","Paddington","Paddington","NSW","New South Wales","AU","Australia","2021","221 Glenmore Rd, Paddington NSW 2021",NULL,NULL,"https://michelsdrycleaners.com.au/home/",NULL,NULL,NULL,"9531","2021-08-25 13:42:25.135218","2021-08-25 13:42:25.135218","2021-08-25 13:42:25.135218",NULL,"2021-08-25 13:42:25.135218",NULL,NULL,NULL,"MICHELS DRY CLEANERS DC"
"DAILY GREENS","2/16 Glenmore Rd, Paddington NSW 2021, Australia",NULL,"ae96dcb3-b140-49f2-a742-ecdd0bc0f8e9","ae96dcb3-b140-49f2-a742-ecdd0bc0f8e9","{}",NULL,"CUSTOM","Daily Greens",NULL,NULL,NULL,"2/16","Glenmore Rd","Glenmore Road","Paddington","Paddington","NSW","New South Wales","AU","Australia","2021","2/16 Glenmore Rd, Paddington NSW 2021, Australia",NULL,NULL,"https://dgreens.com.au/",NULL,NULL,NULL,"4512","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"DAILY GREENS"
